workbook,sheet,month_date,route_number,route_id,run_id,issues,locations_updated,history_upserts
R1 - 1st Monday - Pac Pro 1.xlsx,1st Mon R1 - April 2026,2026-04-01,1,25,216,1,34,34
R1 - 1st Monday - Pac Pro 1.xlsx,1st Mon R1 - June 2026,2026-06-01,1,25,368,0,32,32
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - April 2026,2026-04-01,13,37,244,1,22,22
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - May 2026,2026-05-01,13,37,358,3,23,23
R14 - 2nd Wednesday - Oak Bay.xlsx,2nd Wed R14 - April 2026,2026-04-01,14,38,296,0,31,31
R14 - 2nd Wednesday - Oak Bay.xlsx,2nd Wed R14 - May 2026,2026-05-01,14,38,349,0,31,31
R17 - 3rd Monday - Thrifty's 2.xlsx,3rd Mon R17 - April 2026,2026-04-01,17,41,96,1,10,10
R17 - 3rd Monday - Thrifty's 2.xlsx,3rd Mon R17 - May 2026,2026-05-01,17,41,205,1,10,10
R18 - 3rd Tuesday - Beacon Hill.xlsx,3rd Tues R18 - April 2026,2026-04-01,18,42,395,1,26,26
R18 - 3rd Tuesday - Beacon Hill.xlsx,3rd Tues R18 - May 2026,2026-05-01,18,42,5,1,26,26
R19 - 3rd Tuesday - Mayfair.xlsx,3rd Tues R19 - April 2026,2026-04-01,19,43,2,2,24,24
R19 - 3rd Tuesday - Mayfair.xlsx,3rd Tues R19 - May 2026,2026-05-01,19,43,170,2,24,24
R2 - 1st Monday - Pac Pro 2.xlsx,1st Mon R2 - April 2026,2026-04-01,2,26,21,0,31,31
R2 - 1st Monday - Pac Pro 2.xlsx,1st Mon R2 - May 2026,2026-05-01,2,26,41,0,31,31
R2 - 1st Monday - Pac Pro 2.xlsx,1st Mon R2 - June 2026,2026-06-01,2,26,415,0,31,31
R20 - 3rd Wednesday - James Bay.xlsx,3rd Wed R20 - April 2026,2026-04-01,20,44,73,1,30,30
R20 - 3rd Wednesday - James Bay.xlsx,3rd Wed R20 - May 2026,2026-05-01,20,44,117,1,31,31
R23 - 2nd Thursday -  UVic.xlsx,2nd Thu R23 - April 2026,2026-04-01,23,47,248,2,19,19
R23 - 2nd Thursday -  UVic.xlsx,2nd Thu R23 - May 2026,2026-05-01,23,47,137,2,19,19
R24 - 1st Friday - Langford 2.xlsx,1st Fri R24 - April 2026,2026-04-01,24,48,176,9,5,5
R24 - 1st Friday - Langford 2.xlsx,1st Fri R24 - May 2026,2026-05-01,24,48,415,9,5,5
R24 - 1st Friday - Langford 2.xlsx,1st Fri R24 - June 2026,2026-06-01,24,48,415,9,5,5
R4 - 1st Tuesday - Saanich.xlsx,1st Tues R4 - April 2026,2026-04-01,4,28,123,1,15,15
R4 - 1st Tuesday - Saanich.xlsx,1st Tues R4 - May 2026,2026-05-01,4,28,238,2,15,15
R4 - 1st Tuesday - Saanich.xlsx,1st Tues R4 - June 2026,2026-06-01,4,28,415,2,15,15
R5 - 1st Tuesday - Westshore.xlsx,1st Tues R5 - April 2026,2026-04-01,5,29,127,1,25,25
R5 - 1st Tuesday - Westshore.xlsx,1st Tues R5 - May 2026,2026-05-01,5,29,415,1,24,24
R5 - 1st Tuesday - Westshore.xlsx,1st Tues R5 - June 2026,2026-06-01,5,29,339,1,24,24
R6 - 1st Wednesday - Hillside.xlsx,1st Tues R6 - April 2026,2026-04-01,6,30,106,0,33,33
R6 - 1st Wednesday - Hillside.xlsx,1st Tues R6 - May 2026,2026-05-01,6,30,376,0,33,33
R6 - 1st Wednesday - Hillside.xlsx,1st Tues R6 - June 2026,2026-06-01,6,30,415,0,33,33
R8 - 1st Thursday - Downtown 1.xlsx,1st Thurs R8 - April 2026,2026-04-01,8,32,241,1,26,26
R8 - 1st Thursday - Downtown 1.xlsx,1st Thurs R8 - May 2026,2026-05-01,8,32,223,1,26,26
R8 - 1st Thursday - Downtown 1.xlsx,1st Thurs R8 - June 2026,2026-05-01,8,32,223,1,26,26
R9 - 1st Thursday - Downtown 2.xlsx,1st Thurs R9 - April 2026,2026-04-01,9,33,192,0,32,32
R9 - 1st Thursday - Downtown 2.xlsx,1st Thurs R9 - May 2026,2026-05-01,9,33,119,0,32,32
R9 - 1st Thursday - Downtown 2.xlsx,1st Thurs R9 - June 2026,2026-06-01,9,33,415,0,32,32
